age,workclass,education,marital-status,occupation,relationship,hours-per-week,capital-change,income
Middle-age, Government, Bachelors, Never-married, Adm-clerical, Not-in-family,Normal-workload,Capital-gain, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,No-change, <=50K
Middle-age, Private, Masters, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-spouse-absent, Other-service, Not-in-family,Less-workload,No-change, <=50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Private, Masters, Never-married, Prof-specialty, Not-in-family,Over-workload,Capital-gain, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Young, Private, Bachelors, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, <=50K
Young, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried,Over-workload,No-change, >50K
Middle-age, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Senior, Private, HS-grad, Separated, Other-service, Unmarried,Less-workload,No-change, <=50K
Middle-age, Government, Low-education, Married-civ-spouse, Farming-fishing, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Normal-workload,Capital-loss, <=50K
Senior, Private, HS-grad, Divorced, Tech-support, Unmarried,Normal-workload,No-change, <=50K
Senior, Government, Bachelors, Married-civ-spouse, Tech-support, Husband,Normal-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Divorced, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
